,id,大豆油浓度,玉米油浓度,茶油浓度,peak:843,peak:865,peak:966,peak:1077,peak:1263,peak:1301,peak:1438,peak:1651,peak:1656
0,3,10.0,5.0,85.0,7474.547333333333,7911.519555555554,5231.366777777776,7428.2834444444425,8699.381000000003,12081.449999999999,18120.2288888889,9203.783888888904,8667.075555555572
1,5,5.0,15.0,80.0,8025.4942222222235,8461.11944444445,5677.78577777778,7870.480222222223,9397.619444444446,12948.965555555566,19356.757777777766,9970.45100000001,9450.506555555568
2,7,5.0,25.0,70.0,7806.859666666674,8166.4843333333365,5661.915222222223,7587.512444444447,9382.928444444447,12507.972222222234,18679.041111111135,9927.611000000024,9485.04155555558
3,9,10.0,40.0,50.0,8001.7985,8302.319666666668,6073.277666666666,7691.694333333333,10127.217166666667,12659.340000000002,18813.485,10589.632,10329.6945
4,14,20.0,10.0,70.0,7706.282000000003,8146.3237777777795,5618.976444444444,7647.93477777778,9500.476777777782,12510.7411111111,18765.61444444447,10040.963444444467,9635.644000000024
5,16,5.0,5.0,90.0,5940.550333333333,6276.092,4127.867133333333,5944.633666666666,6743.991999999999,9552.525466666666,14255.008000000002,7084.6336666666675,6628.392066666666
6,28,10.0,30.0,60.0,8137.4928888888935,8509.25677777778,6010.465111111113,7798.298444444449,10050.479666666679,13033.075555555532,19486.313333333335,10683.324666666647,10332.8802222222
7,29,15.0,10.0,75.0,6634.5088888888895,7008.9672222222225,4774.522777777776,6542.27277777778,8021.606,10798.800444444456,16249.314444444468,8541.689222222223,8149.633666666666
8,31,15.0,5.0,80.0,8565.054666666669,9082.207444444442,6188.235222222221,8841.99911111111,10230.901555555567,13824.9433333333,20485.832222222234,10568.859888888866,10041.6932222222
9,32,30.0,10.0,60.0,6833.057222222221,7246.96,5157.668333333334,6875.307222222221,8716.86277777778,11021.168777777764,16479.501111111098,9141.875444444422,8865.333777777756
10,33,10.0,10.0,80.0,9289.789444444446,9798.331111111118,6782.900222222223,9880.956111111112,10963.9122222222,14732.651111111101,21501.9411111111,11026.246666666657,10436.079888888877
11,34,2.5,2.5,95.0,7467.0326,7920.015933333333,5109.607599999999,7518.8076,8404.8994,12146.606666666667,18180.615999999998,8855.216133333333,8248.791133333332
12,43,10.0,25.0,65.0,8749.570333333335,9171.667555555554,6420.209555555557,8459.876,10690.652222222234,14019.305555555567,20980.874444444467,11335.88900000001,10895.472444444456
13,47,5.0,10.0,85.0,8266.25088888889,8733.25088888889,5800.792555555557,8256.528666666667,9614.624999999998,13393.708888888867,20011.58555555553,10118.584555555566,9527.570666666676
14,49,15.0,25.0,60.0,9766.958000000004,10197.596666666666,7627.805222222228,10664.624444444467,12020.8611111111,14966.803333333335,21433.596666666668,11632.734888888881,11236.554333333324
15,50,40.0,40.0,20.0,8422.841833333334,8779.175166666666,6903.196,8027.112666666667,11865.716666666667,13353.571666666669,19931.78,12452.341999999999,12480.487833333333
16,52,10.0,20.0,70.0,8689.467111111115,9125.328222222226,6298.49488888889,8490.383777777783,10493.744222222223,13955.397777777767,20834.243333333332,11036.188111111123,10565.99366666668
