,id,大豆油浓度,玉米油浓度,茶油浓度,peak:843,peak:865,peak:966,peak:1077,peak:1263,peak:1301,peak:1438,peak:1651,peak:1656
0,20,10.0,5.0,85.0,7474.547333333333,7911.519555555554,5231.366777777776,7428.2834444444425,8699.381000000003,12081.449999999999,18120.2288888889,9203.783888888904,8667.075555555572
1,34,5.0,15.0,80.0,8025.4942222222235,8461.11944444445,5677.78577777778,7870.480222222223,9397.619444444446,12948.965555555566,19356.757777777766,9970.45100000001,9450.506555555568
2,45,5.0,25.0,70.0,7806.859666666674,8166.4843333333365,5661.915222222223,7587.512444444447,9382.928444444447,12507.972222222234,18679.041111111135,9927.611000000024,9485.04155555558
3,60,10.0,40.0,50.0,8001.7985,8302.319666666668,6073.277666666666,7691.694333333333,10127.217166666667,12659.340000000002,18813.485,10589.632,10329.6945
4,78,10.0,80.0,10.0,833.4178,892.6053,974.91765,0.0,0.0,0.0,0.0,1672.4175,1708.105
5,30,20.0,10.0,70.0,7706.282000000003,8146.3237777777795,5618.976444444444,7647.93477777778,9500.476777777782,12510.7411111111,18765.61444444447,10040.963444444467,9635.644000000024
6,10,5.0,5.0,90.0,5940.550333333333,6276.092,4127.867133333333,5944.633666666666,6743.991999999999,9552.525466666666,14255.008000000002,7084.6336666666675,6628.392066666666
7,75,10.0,70.0,20.0,8081.013,8251.492166666669,6521.0755,7521.158833333334,10662.45,12285.388333333334,18009.325,11012.867666666667,10974.513500000001
8,69,40.0,50.0,10.0,7389.9145,7670.206166666667,6174.831166666667,7002.352,10580.7695,11601.519999999999,17293.728333333333,11075.351499999999,11154.580666666667
9,66,10.0,50.0,40.0,8274.087166666666,8538.399666666666,6406.753833333333,7842.4205,10659.6915,12987.753333333334,19258.38,11143.920166666665,10947.7535
10,50,10.0,30.0,60.0,8137.4928888888935,8509.25677777778,6010.465111111113,7798.298444444449,10050.479666666679,13033.075555555532,19486.313333333335,10683.324666666647,10332.8802222222
11,29,15.0,10.0,75.0,6634.5088888888895,7008.9672222222225,4774.522777777776,6542.27277777778,8021.606,10798.800444444456,16249.314444444468,8541.689222222223,8149.633666666666
12,21,15.0,5.0,80.0,8565.054666666669,9082.207444444442,6188.235222222221,8841.99911111111,10230.901555555567,13824.9433333333,20485.832222222234,10568.859888888866,10041.6932222222
13,32,30.0,10.0,60.0,6833.057222222221,7246.96,5157.668333333334,6875.307222222221,8716.86277777778,11021.168777777764,16479.501111111098,9141.875444444422,8865.333777777756
14,28,10.0,10.0,80.0,9289.789444444446,9798.331111111118,6782.900222222223,9880.956111111112,10963.9122222222,14732.651111111101,21501.9411111111,11026.246666666657,10436.079888888877
15,5,2.5,2.5,95.0,7467.0326,7920.015933333333,5109.607599999999,7518.8076,8404.8994,12146.606666666667,18180.615999999998,8855.216133333333,8248.791133333332
16,46,10.0,25.0,65.0,8749.570333333335,9171.667555555554,6420.209555555557,8459.876,10690.652222222234,14019.305555555567,20980.874444444467,11335.88900000001,10895.472444444456
17,27,5.0,10.0,85.0,8266.25088888889,8733.25088888889,5800.792555555557,8256.528666666667,9614.624999999998,13393.708888888867,20011.58555555553,10118.584555555566,9527.570666666676
