,index,value
0,111.5196,-18.6561925
1,120.9049,72.093805
2,130.2617,77.15631
3,139.59,81.96881
4,148.8902,98.59382
5,158.1623,137.5313
6,167.4065,374.2813
7,176.623,1168.906
8,185.8118,4026.406
9,194.9732,7857.906
10,204.1073,13437.72
11,213.2142,16210.78
12,222.2941,17385.095
13,231.3471,16856.47
14,240.3733,15891.97
15,249.373,15287.405
16,258.3463,14807.845
17,267.2932,14372.535
18,276.2139,13660.285
19,285.1086,13014.785
20,293.9775,12212.345
21,302.8206,11646.405
22,311.638,11107.905
23,320.43,10697.405
24,329.1967,10302.66
25,337.9381,10094.22
26,346.6545,9852.532
27,355.3459,9664.4695
28,364.0125,9491.782
29,372.6544,9301.782
30,381.2718,9023.782
31,389.8647,8920.3445
32,398.4334,8916.8445
33,406.9779,8739.0945
34,415.4984,8443.282
35,423.9949,8269.657
36,432.4677,8005.406
37,440.9168,7783.781
38,449.3424,7574.531
39,457.7446,7405.9685
40,466.1235,7215.5935
41,474.4792,7089.656
42,482.8119,6932.781
43,491.1217,6787.531
44,499.4087,6595.7185
45,507.6729,6400.656
46,515.9147,6163.5935
47,524.134,5900.0935
48,532.3309,5542.156
49,540.5057,5279.781
50,548.6583,5007.156
51,556.789,4901.5935
52,564.8978,4909.2185
53,572.9849,5004.7185
54,581.0503,5196.281
55,589.0942,5342.531
56,597.1167,5455.9685
57,605.1179,5270.9685
58,613.0979,4824.656
59,621.0568,4480.5935
60,628.9948,4170.9685
61,636.9119,4006.7185
62,644.8082,3820.4685
63,652.684,3685.531
64,660.5391,3562.8435
65,668.3739,3521.5935
66,676.1883,3541.3435
67,683.9825,3649.4685
68,691.7567,3877.906
69,699.5107,4105.0935
70,707.2449,4438.0935
71,714.9593,4728.531
72,722.654,4907.656
73,730.3291,4742.7185
74,737.9847,4331.031
75,745.6209,4060.031
76,753.2379,3935.531
77,760.8356,3954.5935
78,768.4142,3950.281
79,775.9738,3809.5935
80,783.5146,3666.906
81,791.0365,3722.906
82,798.5397,4115.2185
83,806.0244,4542.281
84,813.4905,5143.8435
85,820.9382,5892.781
86,828.3676,7224.9685
87,835.7788,8162.9065
88,843.1719,8618.7195
89,850.5469,8489.407
90,857.9039,8524.532
91,865.2432,8823.2195
92,872.5646,8778.782
93,879.8684,8375.7195
94,887.1546,7874.0935
95,894.4233,7429.9685
96,901.6747,7269.531
97,908.9088,7269.406
98,916.1255,7059.0935
99,923.3253,6726.5935
100,930.5079,6486.4685
101,937.6736,6433.9685
102,944.8224,6384.3435
103,951.9545,6330.5935
104,959.0698,6586.0935
105,966.1686,6978.0935
106,973.2508,6581.2185
107,980.3167,5532.8435
108,987.3661,4673.8435
109,994.3993,4453.281
110,1001.416,4590.781
111,1008.417,4837.406
112,1015.402,5101.7185
113,1022.371,5220.7185
114,1029.324,5262.2185
115,1036.261,5331.3435
116,1043.183,5412.4685
117,1050.089,5752.281
118,1056.98,6807.156
119,1063.855,7619.8435
120,1070.714,8130.2185
121,1077.559,8301.8445
122,1084.388,7786.906
123,1091.202,6707.3435
124,1098.001,5471.281
125,1104.785,4813.9685
126,1111.554,4477.906
127,1118.308,4110.9685
128,1125.048,3451.9685
129,1131.773,2904.2185
130,1138.483,2659.906
131,1145.179,2575.781
132,1151.86,2500.5935
133,1158.527,2481.156
134,1165.18,2522.906
135,1171.818,2570.656
136,1178.442,2653.4685
137,1185.053,2745.031
138,1191.649,2834.4685
139,1198.231,2914.5935
140,1204.799,3061.2185
141,1211.354,3290.2185
142,1217.895,3557.031
143,1224.422,3866.0935
144,1230.936,4382.8435
145,1237.436,5187.281
146,1243.922,6595.5935
147,1250.396,8617.532
148,1256.856,10644.22
149,1263.302,11664.845
150,1269.736,11375.905
151,1276.157,10301.16
152,1282.564,9710.907
153,1288.959,10767.03
154,1295.34,13305.155
155,1301.709,14172.72
156,1308.065,12102.535
157,1314.408,9519.657
158,1320.739,7475.406
159,1327.057,5840.5935
160,1333.363,4689.3435
161,1339.656,4192.4685
162,1345.937,3946.9685
163,1352.205,3768.156
164,1358.462,3711.656
165,1364.706,3678.3435
166,1370.938,3459.9685
167,1377.158,3137.656
168,1383.366,2943.0935
169,1389.562,3080.2185
170,1395.746,3498.406
171,1401.918,3768.781
172,1408.079,4194.906
173,1414.227,5174.906
174,1420.365,6996.3435
175,1426.49,11289.905
176,1432.605,17738.59
177,1438.707,21121.53
178,1444.799,19729.905
179,1450.879,17058.78
180,1456.948,14206.785
181,1463.005,10855.285
182,1469.052,7570.906
183,1475.087,5220.4685
184,1481.111,3837.531
185,1487.124,3094.3435
186,1493.127,2651.906
187,1499.118,2358.406
188,1505.099,2145.156
189,1511.069,1991.5935
190,1517.028,1868.781
191,1522.977,1769.0935
192,1528.915,1679.656
193,1534.842,1596.8435
194,1540.76,1554.656
195,1546.666,1510.5935
196,1552.563,1444.781
197,1558.448,1411.656
198,1564.324,1392.656
199,1570.19,1334.406
200,1576.045,1318.781
201,1581.89,1301.8435
202,1587.726,1301.156
203,1593.551,1316.4685
204,1599.366,1336.156
205,1605.172,1361.3435
206,1610.967,1422.906
207,1616.753,1599.7185
208,1622.529,1897.531
209,1628.296,2330.031
210,1634.052,3107.906
211,1639.8,4894.4685
212,1645.537,8719.3445
213,1651.266,13065.595
214,1656.984,13150.595
215,1662.694,8541.157
216,1668.394,4245.8435
217,1674.085,2326.156
218,1679.766,1633.0935
219,1685.439,1351.656
220,1691.102,1218.0935
221,1696.756,1136.906
222,1702.401,1087.0935
223,1708.038,1047.0935
224,1713.665,1039.7185
225,1719.283,1126.0935
226,1724.893,1360.406
227,1730.494,1827.531
228,1736.086,2515.531
229,1741.669,3089.8435
230,1747.244,3091.156
231,1752.81,2453.531
232,1758.367,1635.5935
233,1763.916,1103.906
234,1769.457,862.0938
235,1774.989,764.0938
236,1780.513,714.7188
237,1786.028,680.5313
238,1791.535,642.1563
239,1797.034,620.2813
240,1802.525,612.3438
241,1808.007,603.4688
242,1813.481,583.5938
243,1818.948,581.5938
244,1824.406,565.9688
245,1829.856,556.5313
246,1835.299,542.2813
247,1840.733,534.8438
248,1846.16,516.8438
249,1851.579,501.2188
250,1856.99,489.5313
251,1862.393,487.1563
252,1867.789,471.6563
253,1873.177,466.7813
254,1878.557,459.0313
255,1883.93,454.4688
