	¾ùÖµ
73-30 60 10(1)_RBg	73-30 60 10(1)_RBg
111.5196	-34.473745
120.9049	91.08878
130.2617	106.83878
139.59	110.21378
148.8902	133.2763
158.1623	185.4013
167.4065	429.5262
176.623	1235.5885
185.8118	4190.7135
194.9732	8125.2135
204.1073	13713.085
213.2142	16569.215
222.2941	17705.025
231.3471	17168.21
240.3733	16193.59
249.373	15579.215
258.3463	15115.275
267.2932	14686.65
276.2139	14041.71
285.1086	13404.84
293.9775	12599.09
302.8206	12034.9
311.638	11511.525
320.43	11089.775
329.1967	10704.715
337.9381	10480.65
346.6545	10216.46
355.3459	10008.714
364.0125	9851.5885
372.6544	9673.3385
381.2718	9415.2135
389.8647	9285.401
398.4334	9232.776
406.9779	9047.2135
415.4984	8774.401
423.9949	8588.901
432.4677	8337.151
440.9168	8111.7135
449.3424	7896.2135
457.7446	7693.7135
466.1235	7484.901
474.4792	7348.5885
482.8119	7185.8385
491.1217	7031.651
499.4087	6836.8385
507.6729	6623.3385
515.9147	6361.8385
524.134	6063.776
532.3309	5733.7135
540.5057	5485.526
548.6583	5210.901
556.789	5120.651
564.8978	5144.5885
572.9849	5202.901
581.0503	5352.9635
589.0942	5489.7135
597.1167	5597.776
605.1179	5420.151
613.0979	4978.7135
621.0568	4622.401
628.9948	4302.901
636.9119	4133.276
644.8082	3948.401
652.684	3788.4635
660.5391	3667.401
668.3739	3632.526
676.1883	3669.526
683.9825	3777.5885
691.7567	4009.776
699.5107	4235.0885
707.2449	4583.776
714.9593	4860.8385
722.654	5002.276
730.3291	4823.3385
737.9847	4387.2135
745.6209	4088.526
753.2379	3949.4635
760.8356	3960.401
768.4142	3945.7135
775.9738	3806.4635
783.5146	3643.151
791.0365	3672.9635
798.5397	3969.901
806.0244	4344.2135
813.4905	4953.3385
820.9382	5747.901
828.3676	7170.9635
835.7788	8076.276
843.1719	8460.4635
850.5469	8282.0885
857.9039	8315.2135
865.2432	8634.901
872.5646	8620.776
879.8684	8210.4635
887.1546	7693.651
894.4233	7346.3385
901.6747	7283.776
908.9088	7312.4635
916.1255	7110.401
923.3253	6779.7135
930.5079	6543.5885
937.6736	6534.651
944.8224	6518.026
951.9545	6486.5885
959.0698	6753.0885
966.1686	7103.651
973.2508	6683.8385
980.3167	5629.401
987.3661	4636.0885
994.3993	4403.151
1001.416	4496.8385
1008.417	4682.526
1015.402	4930.651
1022.371	5065.651
1029.324	5075.9635
1036.261	5128.401
1043.183	5190.8385
1050.089	5505.151
1056.98	6529.4635
1063.855	7340.651
1070.714	7832.776
1077.559	7920.651
1084.388	7406.026
1091.202	6446.901
1098.001	5375.526
1104.785	4795.0885
1111.554	4391.2135
1118.308	3972.526
1125.048	3331.401
1131.773	2847.651
1138.483	2620.2135
1145.179	2536.276
1151.86	2473.4635
1158.527	2462.8385
1165.18	2513.026
1171.818	2564.401
1178.442	2659.0885
1185.053	2763.9635
1191.649	2868.401
1198.231	2944.026
1204.799	3117.776
1211.354	3369.2135
1217.895	3647.0885
1224.422	3928.4635
1230.936	4454.4635
1237.436	5272.401
1243.922	6820.0885
1250.396	8927.026
1256.856	11106.585
1263.302	12113.15
1269.736	11729.46
1276.157	10532.4
1282.564	9797.776
1288.959	10704.775
1295.34	13075.525
1301.709	13872.15
1308.065	11820.9
1314.408	9361.776
1320.739	7418.4635
1327.057	5812.026
1333.363	4711.776
1339.656	4246.026
1345.937	3996.7135
1352.205	3815.401
1358.462	3769.9635
1364.706	3733.026
1370.938	3524.5885
1377.158	3212.4635
1383.366	3044.2135
1389.562	3208.901
1395.746	3618.3385
1401.918	3870.776
1408.079	4278.776
1414.227	5253.651
1420.365	7064.151
1426.49	11171.59
1432.605	17501.4
1438.707	20747.585
1444.799	19333.84
1450.879	16739.59
1456.948	14002.59
1463.005	10652.4
1469.052	7522.526
1475.087	5207.276
1481.111	3890.0885
1487.124	3149.776
1493.127	2714.651
1499.118	2434.5885
1505.099	2221.651
1511.069	2059.3385
1517.028	1955.4635
1522.977	1857.276
1528.915	1764.526
1534.842	1700.901
1540.76	1646.5885
1546.666	1599.8385
1552.563	1565.2135
1558.448	1509.2135
1564.324	1464.5885
1570.19	1429.151
1576.045	1410.651
1581.89	1393.776
1587.726	1396.9635
1593.551	1421.526
1599.366	1445.276
1605.172	1476.8385
1610.967	1543.401
1616.753	1738.151
1622.529	2042.276
1628.296	2512.651
1634.052	3313.026
1639.8	5172.4635
1645.537	8930.2135
1651.266	13725.15
1656.984	13997.65
1662.694	9077.776
1668.394	4728.9635
1674.085	2517.651
1679.766	1767.026
1685.439	1436.276
1691.102	1300.7135
1696.756	1226.776
1702.401	1185.026
1708.038	1140.5885
1713.665	1144.026
1719.283	1207.776
1724.893	1409.651
1730.494	1920.401
1736.086	2576.776
1741.669	3149.9635
1747.244	3148.651
1752.81	2479.901
1758.367	1711.8385
1763.916	1149.901
1769.457	945.4013
1774.989	848.5263
1780.513	776.7138
1786.028	725.7138
1791.535	719.9013
1797.034	704.8388
1802.525	688.6513
1808.007	668.3388
1813.481	637.4013
1818.948	629.0263
1824.406	621.7138
1829.856	603.6513
1835.299	596.2763
1840.733	574.7138
1846.16	577.5888
1851.579	584.8388
1856.99	556.7763
1862.393	530.4638
1867.789	542.4638
1873.177	518.9638
1878.557	503.33875
1883.93	497.0887
