,index,value
0,111.5196,-38.56276
1,120.9049,89.499735
2,130.2617,102.312235
3,139.59,110.99975
4,148.8902,122.56225
5,158.1623,172.31225
6,167.4065,424.43725
7,176.623,1242.4995
8,185.8118,4186.8125
9,194.9732,8093.75
10,204.1073,13764.0
11,213.2142,16539.12
12,222.2941,17692.185
13,231.3471,17155.935
14,240.3733,16155.25
15,249.373,15543.125
16,258.3463,15038.315
17,267.2932,14609.31
18,276.2139,13906.0
19,285.1086,13259.56
20,293.9775,12400.25
21,302.8206,11835.065
22,311.638,11271.5
23,320.43,10862.5
24,329.1967,10474.06
25,337.9381,10262.185
26,346.6545,10010.502
27,355.3459,9794.0625
28,364.0125,9640.625
29,372.6544,9471.0
30,381.2718,9200.8125
31,389.8647,9100.375
32,398.4334,9069.5625
33,406.9779,8882.1875
34,415.4984,8589.25
35,423.9949,8413.4375
36,432.4677,8162.25
37,440.9168,7954.5625
38,449.3424,7728.75
39,457.7446,7552.0
40,466.1235,7358.5
41,474.4792,7214.1875
42,482.8119,7062.4375
43,491.1217,6914.125
44,499.4087,6726.125
45,507.6729,6521.8125
46,515.9147,6264.625
47,524.134,5979.25
48,532.3309,5630.3125
49,540.5057,5358.0625
50,548.6583,5095.1875
51,556.789,4996.75
52,564.8978,5001.9375
53,572.9849,5114.9375
54,581.0503,5285.8125
55,589.0942,5435.0
56,597.1167,5560.625
57,605.1179,5374.8125
58,613.0979,4902.9375
59,621.0568,4549.375
60,628.9948,4225.625
61,636.9119,4051.3745
62,644.8082,3862.812
63,652.684,3719.937
64,660.5391,3605.1245
65,668.3739,3570.812
66,676.1883,3610.8745
67,683.9825,3724.4995
68,691.7567,3972.687
69,699.5107,4223.0
70,707.2449,4581.5625
71,714.9593,4878.6875
72,722.654,5054.5
73,730.3291,4866.1875
74,737.9847,4439.3125
75,745.6209,4127.8125
76,753.2379,3987.562
77,760.8356,4009.8745
78,768.4142,4004.6245
79,775.9738,3873.812
80,783.5146,3714.6245
81,791.0365,3773.062
82,798.5397,4122.8125
83,806.0244,4556.0
84,813.4905,5180.125
85,820.9382,6000.875
86,828.3676,7443.0
87,835.7788,8412.9375
88,843.1719,8841.5625
89,850.5469,8690.8125
90,857.9039,8767.25
91,865.2432,9102.875
92,872.5646,9055.875
93,879.8684,8625.4375
94,887.1546,8072.9375
95,894.4233,7674.0625
96,901.6747,7565.0
97,908.9088,7593.4375
98,916.1255,7394.9375
99,923.3253,7041.75
100,930.5079,6772.375
101,937.6736,6757.9375
102,944.8224,6734.4375
103,951.9545,6678.375
104,959.0698,6963.5
105,966.1686,7344.8125
106,973.2508,6915.375
107,980.3167,5835.5625
108,987.3661,4839.9375
109,994.3993,4595.4375
110,1001.416,4718.8125
111,1008.417,4943.0625
112,1015.402,5237.5
113,1022.371,5366.375
114,1029.324,5387.5
115,1036.261,5445.3125
116,1043.183,5511.0625
117,1050.089,5849.0
118,1056.98,7003.125
119,1063.855,7805.9375
120,1070.714,8346.0
121,1077.559,8491.3125
122,1084.388,7943.0625
123,1091.202,6876.375
124,1098.001,5648.9375
125,1104.785,4996.625
126,1111.554,4597.0625
127,1118.308,4175.9375
128,1125.048,3498.562
129,1131.773,2969.937
130,1138.483,2722.7495
131,1145.179,2633.7495
132,1151.86,2569.6245
133,1158.527,2544.312
134,1165.18,2572.8745
135,1171.818,2634.2495
136,1178.442,2736.812
137,1185.053,2843.812
138,1191.649,2932.4995
139,1198.231,3008.8745
140,1204.799,3189.187
141,1211.354,3436.6245
142,1217.895,3732.9995
143,1224.422,4028.8745
144,1230.936,4572.5
145,1237.436,5429.5625
146,1243.922,7034.125
147,1250.396,9209.1875
148,1256.856,11380.625
149,1263.302,12477.31
150,1269.736,12110.19
151,1276.157,10855.875
152,1282.564,10133.875
153,1288.959,11155.935
154,1295.34,13759.185
155,1301.709,14583.81
156,1308.065,12407.125
157,1314.408,9787.6875
158,1320.739,7673.25
159,1327.057,5997.375
160,1333.363,4821.625
161,1339.656,4340.5625
162,1345.937,4062.7495
163,1352.205,3866.937
164,1358.462,3822.2495
165,1364.706,3795.312
166,1370.938,3566.6245
167,1377.158,3238.6245
168,1383.366,3034.562
169,1389.562,3185.9995
170,1395.746,3641.812
171,1401.918,3934.4995
172,1408.079,4359.5625
173,1414.227,5370.9375
174,1420.365,7304.5625
175,1426.49,11602.875
