	¾ùÖµ
76-20 70 10(1)_RBg	76-20 70 10(1)_RBg
111.5196	-12.588846
120.9049	67.72365
130.2617	82.723645
139.59	87.598645
148.8902	117.91115
158.1623	169.53615
167.4065	418.66115
176.623	1243.536
185.8118	4241.161
194.9732	8206.4115
204.1073	13955.725
213.2142	16820.595
222.2941	18051.845
231.3471	17532.41
240.3733	16559.41
249.373	15958.535
258.3463	15503.35
267.2932	15092.29
276.2139	14447.165
285.1086	13826.1
293.9775	12996.665
302.8206	12441.85
311.638	11917.915
320.43	11521.785
329.1967	11132.165
337.9381	10902.915
346.6545	10616.915
355.3459	10413.535
364.0125	10250.91
372.6544	10055.415
381.2718	9768.099
389.8647	9649.224
398.4334	9598.5365
406.9779	9394.0365
415.4984	9090.974
423.9949	8908.4115
432.4677	8660.2865
440.9168	8421.724
449.3424	8172.3485
457.7446	7978.911
466.1235	7773.4735
474.4792	7608.0985
482.8119	7441.7235
491.1217	7294.786
499.4087	7087.9735
507.6729	6872.536
515.9147	6607.7235
524.134	6319.911
532.3309	5974.786
540.5057	5725.8485
548.6583	5453.0985
556.789	5350.161
564.8978	5344.3485
572.9849	5409.7235
581.0503	5559.536
589.0942	5670.161
597.1167	5765.161
605.1179	5577.7235
613.0979	5149.036
621.0568	4792.661
628.9948	4471.3485
636.9119	4300.8485
644.8082	4103.911
652.684	3957.036
660.5391	3828.286
668.3739	3781.9735
676.1883	3809.0985
683.9825	3914.786
691.7567	4146.9735
699.5107	4334.411
707.2449	4673.9735
714.9593	4934.0985
722.654	5059.0985
730.3291	4891.4735
737.9847	4467.3485
745.6209	4162.9735
753.2379	4018.286
760.8356	4020.161
768.4142	3988.411
775.9738	3863.911
783.5146	3698.411
791.0365	3730.661
798.5397	4037.411
806.0244	4377.661
813.4905	4949.3485
820.9382	5719.3485
828.3676	7088.036
835.7788	7983.8485
843.1719	8356.6615
850.5469	8159.4735
857.9039	8158.161
865.2432	8457.2865
872.5646	8462.099
879.8684	8093.8485
887.1546	7598.9735
894.4233	7249.786
901.6747	7183.4735
908.9088	7202.5985
916.1255	7016.661
923.3253	6673.661
930.5079	6428.411
937.6736	6432.036
944.8224	6422.911
951.9545	6409.786
959.0698	6657.911
966.1686	6988.0985
973.2508	6560.661
980.3167	5533.786
987.3661	4591.661
994.3993	4344.786
1001.416	4454.0985
1008.417	4632.5985
1015.402	4884.2235
1022.371	5002.4735
1029.324	5025.3485
1036.261	5081.5985
1043.183	5146.036
1050.089	5436.411
1056.98	6447.411
1063.855	7194.2235
1070.714	7686.411
1077.559	7794.786
1084.388	7289.4735
1091.202	6359.7235
1098.001	5296.411
1104.785	4733.9735
1111.554	4324.536
1118.308	3929.2235
1125.048	3323.536
1131.773	2865.911
1138.483	2633.9735
1145.179	2555.4735
1151.86	2514.536
1158.527	2492.286
1165.18	2516.2235
1171.818	2581.3485
1178.442	2684.0985
1185.053	2792.3485
1191.649	2900.9735
1198.231	2982.0985
1204.799	3134.286
1211.354	3355.286
1217.895	3644.036
1224.422	3923.911
1230.936	4435.0985
1237.436	5193.286
1243.922	6728.161
1250.396	8669.6615
1256.856	10829.975
1263.302	11776.1
1269.736	11414.6
1276.157	10312.975
1282.564	9566.974
1288.959	10436.475
1295.34	12858.225
1301.709	13559.785
1308.065	11539.725
1314.408	9246.099
1320.739	7270.786
1327.057	5786.9735
1333.363	4670.286
1339.656	4225.661
1345.937	3994.0985
1352.205	3828.161
1358.462	3774.5985
1364.706	3737.411
1370.938	3520.3485
1377.158	3253.2235
1383.366	3068.5985
1389.562	3209.3485
1395.746	3648.161
1401.918	3884.7235
1408.079	4282.0985
1414.227	5179.7235
1420.365	7004.786
1426.49	10776.475
1432.605	17286.47
1438.707	20152.97
1444.799	18770.345
1450.879	16401.79
1456.948	13601.915
1463.005	10579.6
1469.052	7284.8485
1475.087	5201.9735
1481.111	3866.036
1487.124	3155.8485
1493.127	2724.5985
1499.118	2465.3485
1505.099	2264.536
1511.069	2102.411
1517.028	1999.911
1522.977	1893.7235
1528.915	1823.7235
1534.842	1758.786
1540.76	1705.536
1546.666	1632.286
1552.563	1593.8485
1558.448	1549.786
1564.324	1507.8485
1570.19	1471.786
1576.045	1455.786
1581.89	1459.0985
1587.726	1462.411
1593.551	1457.4735
1599.366	1479.661
1605.172	1525.161
1610.967	1573.411
1616.753	1733.786
1622.529	2037.4735
1628.296	2520.3485
1634.052	3282.7235
1639.8	5088.286
1645.537	8590.599
1651.266	13289.225
1656.984	13517.04
1662.694	8733.349
1668.394	4646.411
1674.085	2476.9735
1679.766	1783.3485
1685.439	1450.036
1691.102	1311.4735
1696.756	1238.8485
1702.401	1200.8485
1708.038	1174.536
1713.665	1164.536
1719.283	1230.8485
1724.893	1425.4735
1730.494	1910.7235
1736.086	2550.3485
1741.669	3104.8485
1747.244	3072.411
1752.81	2427.036
1758.367	1701.4735
1763.916	1157.2235
1769.457	952.84865
1774.989	841.47365
1780.513	782.16115
1786.028	747.09865
1791.535	723.22365
1797.034	718.59865
1802.525	709.34865
1808.007	675.78615
1813.481	655.34865
1818.948	645.41115
1824.406	633.47365
1829.856	631.28615
1835.299	604.41115
1840.733	564.91115
1846.16	566.66115
1851.579	565.84865
1856.99	552.78615
1862.393	539.84865
1867.789	549.53615
1873.177	544.78615
1878.557	522.72365
1883.93	502.84865
