	¾ùÖµ
60-10 40 50(1)_RBg	60-10 40 50(1)_RBg
111.5196	-20.76377
120.9049	64.61123
130.2617	79.98623
139.59	83.92373
148.8902	93.048715
158.1623	137.7987
167.4065	360.4862
176.623	1097.361
185.8118	3797.2985
194.9732	7392.861
204.1073	12580.86
213.2142	15156.675
222.2941	16247.865
231.3471	15766.425
240.3733	14876.985
249.373	14311.49
258.3463	13837.8
267.2932	13397.8
276.2139	12717.365
285.1086	12082.24
293.9775	11302.925
302.8206	10756.235
311.638	10244.175
320.43	9844.8615
329.1967	9481.049
337.9381	9306.299
346.6545	9094.1115
355.3459	8899.799
364.0125	8733.799
372.6544	8566.9865
381.2718	8308.7365
389.8647	8222.5485
398.4334	8212.861
406.9779	8063.9235
415.4984	7800.5485
423.9949	7616.986
432.4677	7362.111
440.9168	7147.6735
449.3424	6931.0485
457.7446	6785.486
466.1235	6655.486
474.4792	6515.5485
482.8119	6384.111
491.1217	6251.2985
499.4087	6095.2985
507.6729	5915.861
515.9147	5700.986
524.134	5430.1735
532.3309	5108.1735
540.5057	4846.611
548.6583	4592.111
556.789	4491.986
564.8978	4496.0485
572.9849	4616.7985
581.0503	4826.361
589.0942	4963.111
597.1167	5054.736
605.1179	4880.361
613.0979	4486.236
621.0568	4156.986
628.9948	3878.361
636.9119	3724.861
644.8082	3572.4235
652.684	3417.6735
660.5391	3312.486
668.3739	3270.611
676.1883	3291.9235
683.9825	3382.6735
691.7567	3582.861
699.5107	3790.861
707.2449	4084.5485
714.9593	4378.236
722.654	4533.7985
730.3291	4392.5485
737.9847	4068.111
745.6209	3826.986
753.2379	3736.736
760.8356	3762.4235
768.4142	3727.861
775.9738	3580.111
783.5146	3480.361
791.0365	3566.611
798.5397	3969.236
806.0244	4464.611
813.4905	4979.236
820.9382	5649.0485
828.3676	6761.7985
835.7788	7696.7985
843.1719	8180.1735
850.5469	8128.4235
857.9039	8149.7985
865.2432	8403.424
872.5646	8353.7365
879.8684	7953.6735
887.1546	7480.4235
894.4233	7013.861
901.6747	6798.9235
908.9088	6751.986
916.1255	6558.236
923.3253	6213.6735
930.5079	5969.5485
937.6736	5921.861
944.8224	5850.9235
951.9545	5782.486
959.0698	5978.361
966.1686	6297.611
973.2508	5943.861
980.3167	5027.236
987.3661	4328.486
994.3993	4180.9235
1001.416	4343.486
1008.417	4608.6735
1015.402	4884.361
1022.371	4995.111
1029.324	5031.236
1036.261	5103.736
1043.183	5180.1735
1050.089	5498.0485
1056.98	6470.7985
1063.855	7230.4235
1070.714	7703.1735
1077.559	7929.0485
1084.388	7442.861
1091.202	6335.7985
1098.001	5075.9235
1104.785	4426.4235
1111.554	4188.5485
1118.308	3905.361
1125.048	3247.4235
1131.773	2715.9235
1138.483	2481.861
1145.179	2409.0485
1151.86	2336.361
1158.527	2318.736
1165.18	2360.5485
1171.818	2396.736
1178.442	2449.4235
1185.053	2542.6735
1191.649	2655.4235
1198.231	2718.5485
1204.799	2828.111
1211.354	2997.4235
1217.895	3275.2985
1224.422	3576.7985
1230.936	4092.5485
1237.436	4775.861
1243.922	6037.9235
1250.396	7740.361
1256.856	9581.9865
1263.302	10503.74
1269.736	10295.925
1276.157	9418.7365
1282.564	9013.924
1288.959	10207.3
1295.34	12787.925
1301.709	13605.235
1308.065	11584.86
1314.408	9107.6115
1320.739	7121.1735
1327.057	5548.4235
1333.363	4458.986
1339.656	3973.611
1345.937	3742.611
1352.205	3578.4235
1358.462	3538.861
1364.706	3497.4235
1370.938	3269.236
1377.158	2961.6735
1383.366	2770.6735
1389.562	2870.4235
1395.746	3255.236
1401.918	3574.111
1408.079	3986.611
1414.227	4910.361
1420.365	6682.1735
1426.49	10801.865
1432.605	17182.61
1438.707	20319.36
1444.799	18938.485
1450.879	16396.485
1456.948	13624.3
1463.005	10391.925
1469.052	7193.0485
1475.087	4981.486
1481.111	3653.486
1487.124	2940.986
1493.127	2512.611
1499.118	2239.6735
1505.099	2022.236
1511.069	1872.986
1517.028	1772.6735
1522.977	1677.986
1528.915	1596.861
1534.842	1529.486
1540.76	1474.611
1546.666	1423.111
1552.563	1386.1735
1558.448	1335.736
1564.324	1295.486
1570.19	1275.6735
1576.045	1260.986
1581.89	1236.2985
1587.726	1225.736
1593.551	1240.5485
1599.366	1247.236
1605.172	1253.986
1610.967	1310.2985
1616.753	1480.111
1622.529	1742.236
1628.296	2127.5485
1634.052	2840.361
1639.8	4522.4235
1645.537	8108.986
1651.266	11995.735
1656.984	11664.175
1662.694	7329.1735
1668.394	3667.5485
1674.085	2058.736
1679.766	1485.986
1685.439	1236.5485
1691.102	1117.7985
1696.756	1061.5485
1702.401	1031.0485
1708.038	1000.2361
1713.665	1003.1736
1719.283	1065.861
1724.893	1276.736
1730.494	1745.2985
1736.086	2398.5485
1741.669	2957.861
1747.244	2946.7985
1752.81	2326.0485
1758.367	1558.9235
1763.916	1032.4235
1769.457	816.79875
1774.989	727.73625
1780.513	679.86125
1786.028	637.92375
1791.535	625.86125
1797.034	603.42375
1802.525	587.67375
1808.007	584.86125
1813.481	560.98625
1818.948	541.92375
1824.406	544.42375
1829.856	531.17375
1835.299	513.92375
1840.733	495.67375
1846.16	484.3612
1851.579	477.7987
1856.99	482.6737
1862.393	470.9862
1867.789	473.3612
1873.177	458.8612
1878.557	441.7362
1883.93	435.2987
