	¾ùÖµ
66-10 50 40(1)_RBg	66-10 50 40(1)_RBg
111.5196	-12.267115
120.9049	60.98289
130.2617	75.48289
139.59	82.982885
148.8902	98.107885
158.1623	147.4829
167.4065	387.4829
176.623	1169.858
185.8118	4062.233
194.9732	7897.2955
204.1073	13482.045
213.2142	16241.235
222.2941	17447.605
231.3471	16917.355
240.3733	15962.355
249.373	15370.985
258.3463	14879.36
267.2932	14440.045
276.2139	13739.355
285.1086	13091.355
293.9775	12264.48
302.8206	11694.545
311.638	11147.98
320.43	10745.36
329.1967	10343.92
337.9381	10134.6695
346.6545	9915.107
355.3459	9709.1705
364.0125	9523.483
372.6544	9346.2955
381.2718	9083.733
389.8647	8962.358
398.4334	8944.733
406.9779	8764.233
415.4984	8492.233
423.9949	8287.2955
432.4677	8032.9205
440.9168	7809.608
449.3424	7605.0455
457.7446	7395.0455
466.1235	7215.9205
474.4792	7093.9205
482.8119	6956.733
491.1217	6805.733
499.4087	6622.4205
507.6729	6416.983
515.9147	6191.983
524.134	5896.983
532.3309	5578.4205
540.5057	5300.858
548.6583	5032.7955
556.789	4910.358
564.8978	4926.108
572.9849	5016.358
581.0503	5214.233
589.0942	5374.9205
597.1167	5460.233
605.1179	5263.858
613.0979	4868.233
621.0568	4503.233
628.9948	4220.608
636.9119	4036.358
644.8082	3882.1705
652.684	3713.0455
660.5391	3610.358
668.3739	3549.7955
676.1883	3560.233
683.9825	3671.733
691.7567	3862.483
699.5107	4063.9205
707.2449	4387.608
714.9593	4681.358
722.654	4853.1705
730.3291	4705.6705
737.9847	4341.608
745.6209	4053.233
753.2379	3949.608
760.8356	3973.9205
768.4142	3954.4205
775.9738	3791.733
783.5146	3654.4205
791.0365	3746.858
798.5397	4115.7955
806.0244	4591.358
813.4905	5122.7955
820.9382	5872.983
828.3676	7031.5455
835.7788	8011.733
843.1719	8448.7955
850.5469	8361.733
857.9039	8365.9205
865.2432	8646.6705
872.5646	8602.608
879.8684	8185.0455
887.1546	7724.0455
894.4233	7251.233
901.6747	7073.733
908.9088	7053.858
916.1255	6845.7955
923.3253	6491.608
930.5079	6268.108
937.6736	6210.4205
944.8224	6131.108
951.9545	6082.608
959.0698	6282.858
966.1686	6642.608
973.2508	6294.7955
980.3167	5289.858
987.3661	4517.0455
994.3993	4317.0455
1001.416	4472.858
1008.417	4742.9205
1015.402	5007.858
1022.371	5125.733
1029.324	5150.233
1036.261	5222.0455
1043.183	5289.483
1050.089	5614.2955
1056.98	6580.5455
1063.855	7385.858
1070.714	7857.733
1077.559	8078.858
1084.388	7590.6705
1091.202	6461.5455
1098.001	5263.4205
1104.785	4587.9205
1111.554	4297.108
1118.308	3975.0455
1125.048	3376.0455
1131.773	2821.6705
1138.483	2591.9205
1145.179	2480.7955
1151.86	2422.4205
1158.527	2424.233
1165.18	2447.4205
1171.818	2503.1705
1178.442	2573.7955
1185.053	2667.4205
1191.649	2773.858
1198.231	2862.6705
1204.799	2973.1705
1211.354	3169.733
1217.895	3440.9205
1224.422	3750.4205
1230.936	4243.5455
1237.436	5024.983
1243.922	6313.1705
1250.396	8197.608
1256.856	10080.2345
1263.302	11063.795
1269.736	10835.045
1276.157	9863.797
1282.564	9376.233
1288.959	10536.86
1295.34	13065.605
1301.709	13959.42
1308.065	11938.235
1314.408	9355.858
1320.739	7367.858
1327.057	5720.608
1333.363	4633.733
1339.656	4159.233
1345.937	3921.5455
1352.205	3752.2955
1358.462	3700.608
1364.706	3652.2955
1370.938	3450.483
1377.158	3130.1705
1383.366	2939.6705
1389.562	3038.108
1395.746	3427.9205
1401.918	3750.5455
1408.079	4150.6705
1414.227	5149.1705
1420.365	6874.0455
1426.49	11239.61
1432.605	17426.86
1438.707	20865.36
1444.799	19482.92
1450.879	16736.17
1456.948	14053.11
1463.005	10614.295
1469.052	7551.9205
1475.087	5133.0455
1481.111	3806.858
1487.124	3066.0455
1493.127	2657.9205
1499.118	2367.4205
1505.099	2168.5455
1511.069	1990.358
1517.028	1880.6705
1522.977	1786.983
1528.915	1689.358
1534.842	1621.9205
1540.76	1577.858
1546.666	1518.6705
1552.563	1475.1705
1558.448	1432.108
1564.324	1401.7955
1570.19	1361.7955
1576.045	1334.858
1581.89	1313.608
1587.726	1325.358
1593.551	1340.5455
1599.366	1339.233
1605.172	1358.733
1610.967	1416.733
1616.753	1603.233
1622.529	1862.4205
1628.296	2300.233
1634.052	2991.0455
1639.8	4849.983
1645.537	8335.5455
1651.266	12674.795
1656.984	12421.42
1662.694	7747.0455
1668.394	4072.2955
1674.085	2197.608
1679.766	1587.358
1685.439	1322.1705
1691.102	1205.358
1696.756	1140.2955
1702.401	1099.733
1708.038	1061.2955
1713.665	1059.5455
1719.283	1140.9205
1724.893	1361.983
1730.494	1852.5455
1736.086	2459.358
1741.669	3059.2955
1747.244	3055.608
1752.81	2375.983
1758.367	1640.733
1763.916	1091.858
1769.457	882.9204
1774.989	781.9204
1780.513	724.3579
1786.028	683.4204
1791.535	666.1704
1797.034	653.8579
1802.525	642.2954
1808.007	621.1079
1813.481	608.6079
1818.948	588.7329
1824.406	572.4829
1829.856	548.9829
1835.299	544.7954
1840.733	537.9829
1846.16	530.4829
1851.579	530.0454
1856.99	519.3579
1862.393	499.7954
1867.789	469.7329
1873.177	464.4829
1878.557	459.7329
1883.93	462.4204
