	¾ùÖµ
74-0 70 30(1)_RBg	74-0 70 30(1)_RBg
111.5196	-50.40094
120.9049	121.41155
130.2617	135.16155
139.59	149.97405
148.8902	164.72405
158.1623	210.34905
167.4065	480.66155
176.623	1352.974
185.8118	4437.724
194.9732	8652.2865
204.1073	14575.285
213.2142	17633.665
222.2941	18948.85
231.3471	18428.035
240.3733	17438.04
249.373	16810.535
258.3463	16326.785
267.2932	15890.85
276.2139	15207.475
285.1086	14515.41
293.9775	13664.785
302.8206	13068.915
311.638	12526.535
320.43	12092.225
329.1967	11671.85
337.9381	11460.535
346.6545	11190.54
355.3459	10957.725
364.0125	10761.79
372.6544	10571.16
381.2718	10274.35
389.8647	10141.1
398.4334	10079.2265
406.9779	9868.224
415.4984	9576.9115
423.9949	9359.349
432.4677	9076.224
440.9168	8818.5365
449.3424	8558.5365
457.7446	8365.849
466.1235	8188.7865
474.4792	8024.849
482.8119	7835.474
491.1217	7647.1615
499.4087	7460.724
507.6729	7247.974
515.9147	6990.349
524.134	6675.474
532.3309	6339.9115
540.5057	6066.6615
548.6583	5793.474
556.789	5671.849
564.8978	5650.9115
572.9849	5731.599
581.0503	5880.349
589.0942	6018.5365
597.1167	6121.5365
605.1179	5922.1615
613.0979	5481.474
621.0568	5111.1615
628.9948	4808.0365
636.9119	4623.099
644.8082	4431.2865
652.684	4255.099
660.5391	4120.6615
668.3739	4060.5365
676.1883	4068.6615
683.9825	4182.474
691.7567	4389.1615
699.5107	4607.599
707.2449	4913.724
714.9593	5161.474
722.654	5307.849
730.3291	5146.5365
737.9847	4760.0365
745.6209	4475.4115
753.2379	4359.7865
760.8356	4375.224
768.4142	4351.0365
775.9738	4177.599
783.5146	4006.1615
791.0365	4082.974
798.5397	4440.599
806.0244	4873.6615
813.4905	5443.2865
820.9382	6173.2865
828.3676	7445.849
835.7788	8362.474
843.1719	8785.5365
850.5469	8658.099
857.9039	8610.599
865.2432	8871.0365
872.5646	8869.0365
879.8684	8490.7865
887.1546	8008.2865
894.4233	7578.0365
901.6747	7404.724
908.9088	7406.4115
916.1255	7205.849
923.3253	6848.599
930.5079	6603.7865
937.6736	6551.2865
944.8224	6502.849
951.9545	6467.7865
959.0698	6712.724
966.1686	7020.6615
973.2508	6613.4115
980.3167	5635.724
987.3661	4809.2865
994.3993	4607.4115
1001.416	4732.4115
1008.417	4965.0365
1015.402	5225.224
1022.371	5345.5365
1029.324	5370.6615
1036.261	5441.974
1043.183	5512.1615
1050.089	5832.724
1056.98	6877.349
1063.855	7613.224
1070.714	8086.224
1077.559	8245.849
1084.388	7748.7865
1091.202	6714.9115
1098.001	5522.974
1104.785	4895.224
1111.554	4563.349
1118.308	4234.849
1125.048	3594.5365
1131.773	3092.599
1138.483	2860.849
1145.179	2770.7865
1151.86	2704.599
1158.527	2699.849
1165.18	2742.974
1171.818	2797.2865
1178.442	2881.4115
1185.053	2976.2865
1191.649	3079.849
1198.231	3164.349
1204.799	3295.7865
1211.354	3517.599
1217.895	3800.724
1224.422	4080.724
1230.936	4591.5365
1237.436	5358.9115
1243.922	6721.6615
1250.396	8630.6615
1256.856	10575.41
1263.302	11530.79
1269.736	11285.725
1276.157	10315.41
1282.564	9788.849
1288.959	10887.6
1295.34	13447.16
1301.709	14263.975
1308.065	12207.1
1314.408	9723.7865
1320.739	7718.849
1327.057	6134.849
1333.363	5005.2865
1339.656	4530.2865
1345.937	4286.349
1352.205	4110.6615
1358.462	4057.724
1364.706	4006.1615
1370.938	3792.7865
1377.158	3494.349
1383.366	3294.974
1389.562	3414.6615
1395.746	3822.974
1401.918	4121.6615
1408.079	4524.224
1414.227	5468.599
1420.365	7316.6615
1426.49	11417.41
1432.605	18026.85
1438.707	21098.85
1444.799	19667.535
1450.879	17075.725
1456.948	14259.66
1463.005	11005.415
1469.052	7812.099
1475.087	5498.5365
1481.111	4118.724
1487.124	3398.0365
1493.127	2964.0365
1499.118	2705.849
1505.099	2495.224
1511.069	2315.724
1517.028	2201.349
1522.977	2096.7865
1528.915	2022.349
1534.842	1963.4115
1540.76	1893.1615
1546.666	1838.4115
1552.563	1793.9115
1558.448	1747.1615
1564.324	1705.724
1570.19	1665.6615
1576.045	1634.2865
1581.89	1624.349
1587.726	1621.6615
1593.551	1620.2865
1599.366	1621.9115
1605.172	1652.349
1610.967	1712.2865
1616.753	1889.974
1622.529	2188.349
1628.296	2640.974
1634.052	3413.7865
1639.8	5151.5365
1645.537	8765.349
1651.266	13018.04
1656.984	12930.91
1662.694	8361.849
1668.394	4397.599
1674.085	2514.349
1679.766	1870.1615
1685.439	1585.4115
1691.102	1453.0365
1696.756	1367.0365
1702.401	1331.5365
1708.038	1281.6615
1713.665	1274.599
1719.283	1353.6615
1724.893	1552.099
1730.494	2036.0365
1736.086	2726.474
1741.669	3280.974
1747.244	3273.9115
1752.81	2623.6615
1758.367	1837.724
1763.916	1313.6615
1769.457	1090.1615
1774.989	966.28655
1780.513	905.66155
1786.028	880.97405
1791.535	855.66155
1797.034	833.22405
1802.525	814.34905
1808.007	791.72405
1813.481	764.53655
1818.948	758.47405
1824.406	750.28655
1829.856	733.22405
1835.299	716.41155
1840.733	691.47405
1846.16	677.09905
1851.579	689.78655
1856.99	670.59905
1862.393	660.84905
1867.789	647.53655
1873.177	631.41155
1878.557	616.84905
1883.93	607.59905
