	¾ùÖµ
59-0 40 60(1)_RBg	59-0 40 60(1)_RBg
111.5196	-22.98742
120.9049	67.95008
130.2617	71.20008
139.59	78.70008
148.8902	101.0751
158.1623	138.7626
167.4065	356.7626
176.623	1073.0755
185.8118	3592.763
194.9732	7094.0125
204.1073	12028.885
213.2142	14547.825
222.2941	15628.7
231.3471	15190.45
240.3733	14357.39
249.373	13836.635
258.3463	13384.885
267.2932	12931.515
276.2139	12272.76
285.1086	11673.51
293.9775	10915.265
302.8206	10388.885
311.638	9909.013
320.43	9511.013
329.1967	9170.4505
337.9381	9001.513
346.6545	8806.3255
355.3459	8622.5755
364.0125	8430.388
372.6544	8271.138
381.2718	8057.5125
389.8647	7963.6375
398.4334	7925.45
406.9779	7771.1375
415.4984	7512.7625
423.9949	7344.45
432.4677	7085.825
440.9168	6894.825
449.3424	6703.2
457.7446	6536.325
466.1235	6399.325
474.4792	6295.325
482.8119	6165.2
491.1217	6036.5125
499.4087	5877.2625
507.6729	5701.95
515.9147	5487.2625
524.134	5261.5125
532.3309	4951.325
540.5057	4712.1375
548.6583	4453.2625
556.789	4344.825
564.8978	4342.3875
572.9849	4438.325
581.0503	4642.575
589.0942	4768.8875
597.1167	4870.075
605.1179	4725.575
613.0979	4333.825
621.0568	4047.5755
628.9948	3775.8255
636.9119	3626.013
644.8082	3482.013
652.684	3356.3255
660.5391	3234.263
668.3739	3180.4505
676.1883	3193.513
683.9825	3276.013
691.7567	3444.763
699.5107	3610.263
707.2449	3879.4505
714.9593	4134.7
722.654	4329.2625
730.3291	4213.8875
737.9847	3880.763
745.6209	3681.513
753.2379	3606.138
760.8356	3621.888
768.4142	3603.3255
775.9738	3469.5755
783.5146	3346.763
791.0365	3442.263
798.5397	3852.763
806.0244	4286.825
813.4905	4792.1375
820.9382	5351.7625
828.3676	6430.95
835.7788	7178.95
843.1719	7676.3875
850.5469	7659.3875
857.9039	7670.8875
865.2432	7859.3875
872.5646	7821.2
879.8684	7490.1375
887.1546	7035.7625
894.4233	6589.0125
901.6747	6315.5125
908.9088	6260.8875
916.1255	6059.2625
923.3253	5760.5125
930.5079	5517.7
937.6736	5455.5125
944.8224	5378.95
951.9545	5296.45
959.0698	5465.575
966.1686	5731.0125
973.2508	5397.45
980.3167	4664.7625
987.3661	4009.513
994.3993	3898.0755
1001.416	4078.8255
1008.417	4323.7625
1015.402	4594.7
1022.371	4682.3875
1029.324	4720.6375
1036.261	4789.575
1043.183	4860.7
1050.089	5136.575
1056.98	6095.8875
1063.855	6731.7625
1070.714	7196.8875
1077.559	7400.5125
1084.388	6924.0125
1091.202	5941.7625
1098.001	4681.825
1104.785	4080.0755
1111.554	3878.5755
1118.308	3654.7005
1125.048	3038.4505
1131.773	2588.763
1138.483	2341.9505
1145.179	2264.513
1151.86	2191.513
1158.527	2179.3255
1165.18	2223.0755
1171.818	2266.9505
1178.442	2309.263
1185.053	2361.8255
1191.649	2478.263
1198.231	2531.263
1204.799	2641.7005
1211.354	2787.138
1217.895	3042.3255
1224.422	3288.888
1230.936	3768.2005
1237.436	4375.2
1243.922	5526.2625
1250.396	6941.325
1256.856	8648.388
1263.302	9405.513
1269.736	9286.9505
1276.157	8619.513
1282.564	8322.0755
1288.959	9439.013
1295.34	12081.575
1301.709	12753.575
1308.065	10786.265
1314.408	8608.138
1320.739	6625.5125
1327.057	5235.7
1333.363	4173.7625
1339.656	3774.9505
1345.937	3547.388
1352.205	3392.5755
1358.462	3336.388
1364.706	3301.263
1370.938	3091.763
1377.158	2806.4505
1383.366	2608.7005
1389.562	2677.7005
1395.746	3041.4505
1401.918	3345.3255
1408.079	3753.4505
1414.227	4573.8875
1420.365	6275.325
1426.49	9984.136
1432.605	16153.265
1438.707	18946.825
1444.799	17648.325
1450.879	15372.075
1456.948	12690.885
1463.005	9789.263
1469.052	6730.3875
1475.087	4738.7
1481.111	3420.7005
1487.124	2807.4505
1493.127	2398.013
1499.118	2149.263
1505.099	1944.0755
1511.069	1806.5755
1517.028	1703.3255
1522.977	1619.263
1528.915	1548.513
1534.842	1493.513
1540.76	1428.9505
1546.666	1368.263
1552.563	1339.7005
1558.448	1299.763
1564.324	1242.8255
1570.19	1211.5755
1576.045	1191.7005
1581.89	1186.8255
1587.726	1183.5755
1593.551	1179.263
1599.366	1198.013
1605.172	1205.9505
1610.967	1256.2005
1616.753	1384.2005
1622.529	1641.2005
1628.296	1979.763
1634.052	2627.013
1639.8	4098.7005
1645.537	7480.2625
1651.266	10781.64
1656.984	10300.135
1662.694	6536.1375
1668.394	3228.138
1674.085	1872.138
1679.766	1379.0755
1685.439	1154.888
1691.102	1048.9505
1696.756	1006.0755
1702.401	982.01255
1708.038	946.51255
1713.665	949.57505
1719.283	1014.5755
1724.893	1209.8255
1730.494	1639.4505
1736.086	2225.4505
1741.669	2703.2005
1747.244	2720.513
1752.81	2181.013
1758.367	1471.5755
1763.916	1007.763
1769.457	800.26255
1774.989	714.88755
1780.513	660.45005
1786.028	621.82505
1791.535	597.13755
1797.034	589.95005
1802.525	582.01255
1808.007	567.76255
1813.481	545.01255
1818.948	541.01255
1824.406	525.57505
1829.856	504.95005
1835.299	500.01255
1840.733	494.2001
1846.16	480.5751
1851.579	463.9501
1856.99	455.1376
1862.393	445.7001
1867.789	453.4501
1873.177	441.1376
1878.557	421.2001
1883.93	428.4501
