	¾ùÖµ
79-0 90 10(1)_RBg	79-0 90 10(1)_RBg
111.5196	-11.54199
120.9049	94.207995
130.2617	100.957995
139.59	120.332995
148.8902	153.958
158.1623	191.583
167.4065	449.958
176.623	1328.1455
185.8118	4528.958
194.9732	8771.5205
204.1073	14905.52
213.2142	17967.585
222.2941	19314.96
231.3471	18804.525
240.3733	17824.77
249.373	17234.145
258.3463	16796.395
267.2932	16390.705
276.2139	15714.455
285.1086	15072.52
293.9775	14248.085
302.8206	13673.46
311.638	13125.71
320.43	12705.395
329.1967	12299.205
337.9381	12076.645
346.6545	11785.645
355.3459	11566.21
364.0125	11352.77
372.6544	11158.58
381.2718	10842.085
389.8647	10700.08
398.4334	10629.205
406.9779	10392.895
415.4984	10069.5195
423.9949	9875.0205
432.4677	9553.5205
440.9168	9284.8955
449.3424	9024.708
457.7446	8801.833
466.1235	8576.1455
474.4792	8408.5205
482.8119	8224.2705
491.1217	8054.333
499.4087	7818.5205
507.6729	7593.7705
515.9147	7312.1455
524.134	7004.3955
532.3309	6660.2705
540.5057	6379.708
548.6583	6093.708
556.789	5983.208
564.8978	5967.6455
572.9849	6004.0205
581.0503	6124.1455
589.0942	6224.333
597.1167	6292.5205
605.1179	6105.083
613.0979	5676.583
621.0568	5329.833
628.9948	4997.208
636.9119	4804.2705
644.8082	4596.6455
652.684	4417.3955
660.5391	4284.3955
668.3739	4225.5205
676.1883	4230.083
683.9825	4327.333
691.7567	4538.708
699.5107	4721.6455
707.2449	5016.8955
714.9593	5264.2705
722.654	5397.208
730.3291	5205.0205
737.9847	4770.208
745.6209	4493.958
753.2379	4346.958
760.8356	4335.8955
768.4142	4328.3955
775.9738	4190.708
783.5146	3990.8955
791.0365	4018.833
798.5397	4317.333
806.0244	4648.5205
813.4905	5206.6455
820.9382	5920.958
828.3676	7256.833
835.7788	8117.1455
843.1719	8480.708
850.5469	8267.833
857.9039	8195.1455
865.2432	8441.5205
872.5646	8491.2705
879.8684	8183.208
887.1546	7667.8955
894.4233	7315.458
901.6747	7240.8955
908.9088	7259.333
916.1255	7056.083
923.3253	6739.6455
930.5079	6489.2705
937.6736	6481.583
944.8224	6476.083
951.9545	6466.208
959.0698	6697.2705
966.1686	6991.833
973.2508	6601.5205
980.3167	5659.583
987.3661	4721.833
994.3993	4513.5205
1001.416	4591.8955
1008.417	4761.3955
1015.402	5005.708
1022.371	5095.5205
1029.324	5125.7705
1036.261	5191.958
1043.183	5259.333
1050.089	5550.0205
1056.98	6523.8955
1063.855	7223.1455
1070.714	7698.2705
1077.559	7798.5205
1084.388	7310.583
1091.202	6430.458
1098.001	5362.0205
1104.785	4829.0205
1111.554	4456.458
1118.308	4083.8955
1125.048	3470.2705
1131.773	3036.0205
1138.483	2796.583
1145.179	2725.708
1151.86	2670.6455
1158.527	2674.2705
1165.18	2710.0205
1171.818	2770.8955
1178.442	2869.833
1185.053	2987.458
1191.649	3097.333
1198.231	3167.6455
1204.799	3332.2705
1211.354	3558.2705
1217.895	3834.1455
1224.422	4079.958
1230.936	4581.958
1237.436	5285.3955
1243.922	6778.5205
1250.396	8602.7705
1256.856	10673.955
1263.302	11540.395
1269.736	11244.27
1276.157	10247.895
1282.564	9572.3955
1288.959	10447.27
1295.34	12871.77
1301.709	13542.585
1308.065	11534.645
1314.408	9357.8955
1320.739	7410.708
1327.057	5999.6455
1333.363	4878.8955
1339.656	4476.333
1345.937	4230.583
1352.205	4072.708
1358.462	4013.1455
1364.706	3970.2705
1370.938	3764.708
1377.158	3502.0205
1383.366	3312.7705
1389.562	3429.7705
1395.746	3865.083
1401.918	4100.833
1408.079	4477.708
1414.227	5348.208
1420.365	7151.1455
1426.49	10854.27
1432.605	17082.895
1438.707	19904.145
1444.799	18524.46
1450.879	16205.955
1456.948	13487.895
1463.005	10584.71
1469.052	7416.958
1475.087	5389.708
1481.111	4037.3955
1487.124	3377.333
1493.127	2944.083
1499.118	2698.3955
1505.099	2473.3955
1511.069	2343.8955
1517.028	2240.2705
1522.977	2147.208
1528.915	2055.708
1534.842	1988.3955
1540.76	1926.0205
1546.666	1869.833
1552.563	1832.958
1558.448	1790.1455
1564.324	1734.583
1570.19	1696.8955
1576.045	1671.958
1581.89	1684.833
1587.726	1700.8955
1593.551	1699.333
1599.366	1699.7705
1605.172	1716.2705
1610.967	1784.708
1616.753	1959.958
1622.529	2265.1455
1628.296	2687.7705
1634.052	3502.333
1639.8	5073.583
1645.537	8784.2705
1651.266	12731.395
1656.984	13008.205
1662.694	8856.0205
1668.394	4488.958
1674.085	2662.3955
1679.766	1907.2705
1685.439	1619.7705
1691.102	1496.333
1696.756	1408.208
1702.401	1340.333
1708.038	1310.458
1713.665	1318.583
1719.283	1379.833
1724.893	1577.958
1730.494	2027.7705
1736.086	2659.2705
1741.669	3158.1455
1747.244	3147.3955
1752.81	2557.5205
1758.367	1787.708
1763.916	1298.8955
1769.457	1080.5205
1774.989	957.70815
1780.513	903.52055
1786.028	884.89555
1791.535	852.70805
1797.034	839.52055
1802.525	833.08305
1808.007	804.89555
1813.481	788.39555
1818.948	781.20805
1824.406	749.52055
1829.856	743.52055
1835.299	719.39555
1840.733	708.02055
1846.16	688.45805
1851.579	692.83305
1856.99	687.02055
1862.393	655.95805
1867.789	604.45805
1873.177	600.27055
1878.557	620.52055
1883.93	621.27055
